APPLE,Beans,black-sesame-seed,grapes,APPLE,watermelon,,Strawberry_,pineapple,Rajma,pineapple,pineapple,pineapple,,,,,,,,
cherry,Beetroot,coconut_oil,images1,cherry,APPLE,Strawberry_,Strawberry_,Strawberry_,seasametilblack,Rajma,Strawberry_,Strawberry_,Strawberry_,,,,,,,
DRAGONFRUIT,Broccoli,olive_oil,images2,DRAGONFRUIT,cherry,APPLE,Strawberry_,watermelon,til,seasametilblack,Rajma,watermelon,watermelon,watermelon,,,,,,
figs,Cabbages,peanut_oil,images3,figs,DRAGONFRUIT,cherry,APPLE,Watermelon_,Beans,til,seasametilblack,Watermelon_,Watermelon_,Watermelon_,,,,,,
grapes,Carrots,sesameoil,papaya,grapes,figs,DRAGONFRUIT,cherry,chanadal,Beetroot,Beans,til,chanadal,chanadal,chanadal,,,,,,
images1,Cauliflower,blackchana,pineapple,images1,grapes,figs,DRAGONFRUIT,dal,Broccoli,Beetroot,Beans,dal,dal,dal,,,,,,
images2,Garlic,chawlibeans,Strawberry_,images2,images1,grapes,figs,masoordal,Cabbages,Broccoli,Beetroot,masoordal,masoordal,masoordal,,,,,,
images3,Ginger,corn,watermelon,images3,images2,images1,grapes,masoordalbrown,Carrots,Cabbages,Broccoli,masoordalbrown,masoordalbrown,masoordalbrown,,,,,,
papaya,Potatoes,kabulichana,Watermelon_,papaya,images3,images2,images1,moongdal,Cauliflower,Carrots,Cabbages,moongdal,moongdal,moongdal,,,,,,
pineapple,Spinach,matki,chanadal,APPLE,papaya,images3,images2,turdal,Garlic,Cauliflower,Carrots,turdal,turdal,turdal,,,,,,
Strawberry_,Spring_onions,moong,turdal,cherry,pineapple,papaya,images3,almonds,Ginger,Garlic,Cauliflower,Carrots,Broccoli,Rajma,,,,,,
watermelon,masoordalbrown,Rajma,almonds,DRAGONFRUIT,Strawberry_,masoordal,papaya,dal,Potatoes,Ginger,Garlic,Cauliflower,Cabbages,seasametilblack,,,,,,
Watermelon_,moongdal,seasametilblack,black-sesame-seed,figs,watermelon,masoordalbrown,dal,masoordal,Spinach,Potatoes,Ginger,Garlic,Carrots,til,,,,,,
chanadal,turdal,til,coconut_oil,grapes,Watermelon_,moongdal,masoordal,masoordalbrown,Spring_onions,Spinach,Potatoes,Ginger,Cauliflower,Beans,,,,,,
dal,almonds,Beans,olive_oil,images1,chanadal,turdal,masoordalbrown,moongdal,watermelon,Spring_onions,Spinach,Potatoes,Garlic,Beetroot,,,,,,
masoordal,black-sesame-seed,Beetroot,peanut_oil,images2,dal,masoordal,moongdal,turdal,Watermelon_,watermelon,Spring_onions,Spinach,Ginger,Broccoli,,,,,,
masoordalbrown,coconut_oil,Broccoli,sesameoil,images3,masoordal,masoordalbrown,turdal,almonds,chanadal,Watermelon_,watermelon,Spring_onions,Potatoes,Cabbages,,,,,,
moongdal,olive_oil,Cabbages,blackchana,papaya,masoordalbrown,moongdal,almonds,anjeer,dal,chanadal,Watermelon_,watermelon,Spinach,Carrots,,,,,,
turdal,peanut_oil,Carrots,chawlibeans,APPLE,moongdal,turdal,anjeer,cashews,masoordal,dal,chanadal,Watermelon_,Spring_onions,Cauliflower,,,,,,
almonds,sesameoil,Cauliflower,APPLE,cherry,turdal,dal,cashews,dates,masoordalbrown,masoordal,dal,chanadal,watermelon,Garlic,,,,,,
anjeer,blackchana,Garlic,cherry,DRAGONFRUIT,almonds,masoordal,dates,pista,moongdal,masoordalbrown,masoordal,dal,Watermelon_,Ginger,,,,,,
cashews,chawlibeans,Ginger,DRAGONFRUIT,figs,masoordal,masoordalbrown,pista,raisinsblack,turdal,moongdal,masoordalbrown,masoordal,chanadal,Potatoes,,,,,,
dates,corn,Potatoes,figs,grapes,masoordalbrown,moongdal,raisinsblack,raisinsbrown,almonds,turdal,moongdal,masoordalbrown,dal,Spinach,,,,,,
pista,kabulichana,Spinach,grapes,images1,moongdal,turdal,raisinsbrown,walnut,anjeer,almonds,turdal,moongdal,masoordal,Spring_onions,,,,,,
raisinsblack,matki,Spring_onions,images1,images2,turdal,almonds,walnut,riceflour,cashews,anjeer,almonds,turdal,masoordalbrown,watermelon,,,,,,
raisinsbrown,moong,watermelon,images2,images3,masoordal,anjeer,riceflour,wheat,dates,cashews,anjeer,almonds,moongdal,Watermelon_,,,,,,
